episode,avg_reward_last100,time_last100_episodes,solved (>=475)
100,19.4,2.409498691558838,False
200,20.73,2.313175678253174,False
300,39.65,4.522783994674683,False
400,62.44,7.189922571182251,False
500,87.95,10.130431175231934,False
600,116.75,13.303287744522095,False
700,313.47,35.066927433013916,False
800,491.72,56.64523124694824,True
