episode,avg_reward_last100,solved (>=475)
100,11.25,False
200,9.38,False
300,9.4,False
400,9.37,False
500,9.46,False
600,9.25,False
700,9.43,False
800,9.27,False
900,9.38,False
1000,9.43,False
1100,9.31,False
1200,9.36,False
1300,9.42,False
1400,9.4,False
1500,9.36,False
1600,9.41,False
1700,9.38,False
1800,9.25,False
1900,9.31,False
2000,9.26,False
