episode,avg_reward_last100,avg_loss_last100,solved (>=475)
100,19.44,22.815759719610213,False
200,31.16,23.97799685001373,False
300,244.23,39.54011123180389,False
400,337.11,19.303252177238463,False
500,412.77,1.9112007708847523,False
600,392.08,0.041170848924666645,False
700,463.92,7.193381692338735,False
800,484.44,5.365712377782911,True
900,364.91,18.868544884771108,False
1000,122.95,28.289759499132632,False
1100,401.42,26.04513910591602,False
1200,387.05,2.948073239810765,False
1300,426.43,4.798859986327589,False
1400,477.55,10.315421272739767,True
1500,500.0,22.732245933488013,True
1600,500.0,13.280285979732872,True
1700,494.97,10.783373742178082,True
1800,490.27,11.534442072808742,True
1900,471.81,12.673210285454989,False
2000,456.99,17.63472750738263,False
