Episode,Reward,Loss,Epsilon
1,19.0,0,1.0
2,60.0,0.8703198452790578,0.995
3,40.0,1.0343223187056454,0.990025
4,21.0,1.557885546825434,0.985074875
5,11.0,1.625106796793554,0.9801495006250001
6,11.0,1.7559983356266606,0.9752487531218751
7,31.0,2.404802438616753,0.9703725093562657
8,24.0,3.000631565451622,0.9655206468094844
9,41.0,3.6778333985805514,0.960693043575437
10,21.0,3.9050781393051146,0.9558895783575597
11,16.0,3.9927830761671066,0.9511101304657719
12,15.0,4.032732733786106,0.946354579813443
13,23.0,4.008020420968532,0.9416228069143757
14,41.0,4.456985784471035,0.9369146928798039
15,41.0,7.169490832686424,0.9322301194154049
16,24.0,8.29938790678978,0.9275689688183278
17,16.0,8.718167527914048,0.9229311239742362
18,14.0,9.01655557870865,0.918316468354365
19,25.0,8.535938320159913,0.9137248860125932
20,12.0,8.506202819347381,0.9091562615825302
21,13.0,7.9640282225608825,0.9046104802746175
22,13.0,7.225062681436539,0.9000874278732445
23,24.0,7.758643440008163,0.8955869907338783
24,83.0,9.307603375911713,0.8911090557802088
25,12.0,10.150610859394073,0.8866535105013078
26,18.0,9.800519952774048,0.8822202429488013
27,19.0,9.715319242477417,0.8778091417340573
28,16.0,9.65490165233612,0.8734200960253871
29,13.0,9.590068607330322,0.8690529955452602
30,11.0,9.150093288421631,0.8647077305675338
31,52.0,10.155430314540864,0.8603841919146962
32,33.0,10.10287457704544,0.8560822709551227
33,17.0,10.605783665180207,0.851801859600347
34,20.0,10.81023493051529,0.8475428503023453
35,15.0,11.8499813580513,0.8433051360508336
36,16.0,13.342617378234863,0.8390886103705794
37,27.0,17.40305953025818,0.8348931673187264
38,40.0,21.15627039909363,0.8307187014821328
39,16.0,20.432915811538695,0.8265651079747222
40,41.0,23.129433970451355,0.8224322824348486
41,50.0,30.978707962036133,0.8183201210226743
42,22.0,32.02299464225769,0.8142285204175609
43,34.0,34.24808426856995,0.810157377815473
44,15.0,32.93573018074036,0.8061065909263957
45,16.0,31.969374504089355,0.8020760579717637
46,33.0,31.5656378364563,0.798065677681905
47,21.0,40.11010392189026,0.7940753492934954
48,24.0,54.4471222782135,0.7901049725470279
49,13.0,57.93662894248963,0.7861544476842928
50,15.0,64.56478978157044,0.7822236754458713
51,19.0,68.85632562637329,0.778312557068642
52,60.0,62.37374176025391,0.7744209942832988
53,23.0,62.1350019454956,0.7705488893118823
54,36.0,72.72098621368409,0.7666961448653229
55,35.0,78.84872207641601,0.7628626641409962
56,15.0,93.29426156997681,0.7590483508202912
57,21.0,100.70634727478027,0.7552531090661897
58,17.0,115.7480538368225,0.7514768435208588
59,27.0,134.96902357101442,0.7477194593032545
60,37.0,155.75605140686037,0.7439808620067382
61,11.0,166.5255743408203,0.7402609576967045
62,22.0,165.67418235778808,0.736559652908221
63,12.0,166.2139348220825,0.7328768546436799
64,32.0,158.83515895843504,0.7292124703704616
65,19.0,171.7461407470703,0.7255664080186093
66,22.0,170.3181372833252,0.7219385759785162
67,73.0,283.4317059326172,0.7183288830986236
68,22.0,323.2253170776367,0.7147372386831305
69,19.0,336.06464416503906,0.7111635524897149
70,80.0,340.21948570251465,0.7076077347272662
71,36.0,703.4119121551514,0.7040696960536299
72,26.0,963.6698793029785,0.7005493475733617
73,34.0,1019.5995258331299,0.697046600835495
74,36.0,1214.5065509796143,0.6935613678313175
75,74.0,1574.3027909851073,0.6900935609921609
76,19.0,1594.2999792480468,0.6866430931872001
77,44.0,1523.4855247497558,0.6832098777212641
78,25.0,1648.4563252258301,0.6797938283326578
79,18.0,1399.5032496643066,0.6763948591909945
80,12.0,1333.930964050293,0.6730128848950395
81,16.0,1380.1924536132813,0.6696478204705644
82,11.0,1455.1200663757324,0.6662995813682115
83,94.0,1452.363472290039,0.6629680834613705
84,36.0,1342.2632371520997,0.6596532430440636
85,18.0,1436.5735264587402,0.6563549768288433
86,15.0,1356.3919190979004,0.653073201944699
87,64.0,1112.8131549835205,0.6498078359349755
88,35.0,1090.2476572418213,0.6465587967553006
89,16.0,1144.5383673858641,0.6433260027715241
90,24.0,906.0206441497803,0.6401093727576664
91,16.0,1350.910777053833,0.6369088258938781
92,14.0,1560.2666513061524,0.6337242817644086
93,19.0,1778.4168946838379,0.6305556603555866
94,27.0,1626.823984222412,0.6274028820538087
95,22.0,2028.3980197143555,0.6242658676435396
96,58.0,1552.6080087280272,0.6211445383053219
97,27.0,1729.55848236084,0.6180388156137953
98,64.0,1601.8651872253417,0.6149486215357263
99,16.0,1450.9392767333984,0.6118738784280476
100,16.0,1199.552509918213,0.6088145090359074
101,15.0,1359.5483137512208,0.6057704364907278
102,103.0,1383.1565747070313,0.6027415843082742
103,19.0,1364.4349408721923,0.5997278763867329
104,28.0,1279.1562358856202,0.5967292370047992
105,24.0,1602.1259609222411,0.5937455908197752
106,17.0,1721.1358657073974,0.5907768628656763
107,65.0,1364.259122467041,0.5878229785513479
108,13.0,1294.8776628112794,0.5848838636585911
109,12.0,1398.7405714416504,0.5819594443402982
110,112.0,1303.9226237487792,0.5790496471185967
111,45.0,1604.5123666381835,0.5761543988830038
112,60.0,1387.5197508239746,0.5732736268885887
113,18.0,1550.2543302917481,0.5704072587541458
114,10.0,1380.6768656921386,0.567555222460375
115,21.0,1295.6676699829102,0.5647174463480732
116,41.0,1641.9521200561524,0.5618938591163328
117,12.0,1981.3908013916016,0.5590843898207511
118,120.0,2159.505913848877,0.5562889678716474
119,23.0,2415.399173126221,0.5535075230322891
120,119.0,1643.0243701171876,0.5507399854171277
121,119.0,2708.1660076904295,0.547986285490042
122,13.0,2610.6227731323243,0.5452463540625918
123,29.0,2082.090376586914,0.5425201222922789
124,27.0,2172.31240234375,0.5398075216808175
125,29.0,1866.7478060913086,0.5371084840724134
126,46.0,2156.6471075439454,0.5344229416520513
127,14.0,2000.9887182617188,0.531750826943791
128,112.0,2014.1948806762696,0.5290920728090721
129,17.0,2276.7024212646484,0.5264466124450268
130,68.0,2697.054933319092,0.5238143793828016
131,34.0,2298.182503051758,0.5211953074858876
132,24.0,2106.561078186035,0.5185893309484582
133,15.0,2107.643466796875,0.5159963842937159
134,18.0,2217.033519897461,0.5134164023722473
135,24.0,2106.665961608887,0.510849320360386
136,45.0,2068.3009214782714,0.5082950737585841
137,14.0,2078.409959564209,0.5057535983897912
138,22.0,2044.0171034240723,0.5032248303978422
139,30.0,2408.4945245361328,0.500708706245853
140,36.0,2138.5654803466796,0.4982051627146237
141,101.0,1410.0883198547363,0.49571413690105054
142,15.0,1378.4297700500488,0.4932355662165453
143,16.0,1288.035779571533,0.4907693883854626
144,12.0,1333.559100341797,0.4883155414435353
145,67.0,1572.558115386963,0.4858739637363176
146,11.0,1697.5705458068849,0.483444593917636
147,11.0,1795.2191300964355,0.4810273709480478
148,24.0,1885.5056730651856,0.47862223409330756
149,20.0,1686.7280581665038,0.47622912292284103
150,102.0,1363.4505502319337,0.4738479773082268
151,113.0,1564.4853486633301,0.47147873742168567
152,117.0,951.9070625305176,0.46912134373457726
153,96.0,1260.8449662017822,0.46677573701590436
154,117.0,1426.2894549560547,0.46444185833082485
155,145.0,956.3532734680176,0.46211964903917074
156,104.0,752.0974208068848,0.4598090507939749
157,110.0,855.406939239502,0.457510005540005
158,15.0,873.9765739440918,0.45522245551230495
159,12.0,929.7023118591309,0.4529463432347434
160,41.0,887.2550533294677,0.4506816115185697
161,208.0,419.92570175170897,0.4484282034609769
162,68.0,520.5990175628663,0.446186062443672
163,11.0,576.8686448669433,0.4439551321314536
164,20.0,526.9746292877197,0.4417353564707963
165,259.0,423.81577812194826,0.43952667968844233
166,70.0,486.7919524383545,0.43732904629000013
167,79.0,388.06482612609864,0.4351424010585501
168,64.0,287.9984510040283,0.43296668905325736
169,21.0,394.65775123596194,0.43080185560799106
170,72.0,663.2710620117188,0.4286478463299511
171,26.0,607.9827365112304,0.42650460709830135
172,54.0,501.37966522216794,0.42437208406280985
173,179.0,657.2741189575195,0.4222502236424958
174,183.0,1025.6279847717285,0.42013897252428334
175,59.0,1072.3535096740723,0.4180382776616619
176,85.0,1259.0741455841064,0.4159480862733536
177,52.0,1082.020206298828,0.41386834584198684
178,12.0,1094.2317741394043,0.4117990041127769
179,16.0,1199.1944953918457,0.40974000909221303
180,12.0,1157.5258619689941,0.40769130904675194
181,94.0,922.4642741394043,0.40565285250151817
182,11.0,935.0091030883789,0.4036245882390106
183,99.0,718.7190194702148,0.4016064652978155
184,57.0,774.6818569183349,0.3995984329713264
185,106.0,646.4605117797852,0.3976004408064698
186,14.0,788.3934559631348,0.39561243860243744
187,40.0,756.3448448181152,0.3936343764094253
188,87.0,687.3723707580566,0.39166620452737816
189,46.0,734.2350946807861,0.3897078735047413
190,44.0,862.2556147003174,0.3877593341372176
191,115.0,1022.1432193756103,0.3858205374665315
192,34.0,1125.276802368164,0.38389143477919885
193,111.0,696.8361869049072,0.3819719776053028
194,62.0,523.3241439056396,0.3800621177172763
195,230.0,629.500408782959,0.37816180712868996
196,110.0,595.8548529052734,0.37627099809304654
197,32.0,642.7885586547851,0.3743896431025813
198,198.0,504.0496319580078,0.37251769488706843
199,118.0,492.36577041625975,0.3706551064126331
200,253.0,440.8062181854248,0.36880183088056995
201,249.0,306.47830337524414,0.3669578217261671
202,221.0,389.68440395355225,0.36512303261753626
203,41.0,392.7271530532837,0.3632974174544486
204,50.0,335.59191287994383,0.3614809303671764
205,419.0,210.8264575958252,0.3596735257153405
206,132.0,387.7843145751953,0.3578751580867638
207,248.0,316.51221771240233,0.35608578229633
208,194.0,238.10550590515138,0.3543053533848483
209,88.0,239.86101444244386,0.35253382661792404
210,275.0,153.1666774559021,0.3507711574848344
211,43.0,152.39605907440185,0.34901730169741024
212,60.0,146.19193096160888,0.3472722151889232
213,165.0,147.65845991134643,0.3455358541129786
214,239.0,134.7908470916748,0.3438081748424137
215,52.0,130.58939476013182,0.3420891339682016
216,103.0,100.5154301071167,0.3403786882983606
217,500.0,98.76259944915772,0.3386767948568688
218,500.0,91.34082525253297,0.33698341088258443
219,39.0,94.80593939781188,0.3352984938281715
220,233.0,89.76459327697754,0.33362200135903064
221,19.0,97.60544156074523,0.33195389135223546
222,53.0,129.80462532043458,0.3302941218954743
223,300.0,82.3920701122284,0.32864265128599696
224,397.0,103.04992354393005,0.326999438029567
225,327.0,58.929324765205386,0.3253644408394192
226,156.0,44.84223692893982,0.3237376186352221
227,102.0,47.722400941848754,0.322118930542046
228,36.0,36.889652380943296,0.32050833588933575
229,236.0,77.13315579414368,0.31890579420988907
230,75.0,58.03708918094635,0.3173112652388396
231,20.0,48.11850885868073,0.3157247089126454
232,108.0,52.5793653011322,0.3141460853680822
233,179.0,77.04145295143127,0.3125753549412418
234,55.0,59.3691995716095,0.31101247816653554
235,246.0,74.07418289184571,0.30945741577570285
236,51.0,57.271983003616334,0.3079101286968243
237,64.0,43.73720965385437,0.3063705780533402
238,19.0,44.35946373939514,0.30483872516307353
239,13.0,39.55172508239746,0.3033145315372582
240,417.0,61.33422256946564,0.3017979588795719
241,330.0,86.92789309501649,0.30028896908517405
242,316.0,44.92491648197174,0.2987875242397482
243,27.0,70.01634876728058,0.29729358661854943
244,44.0,106.6098789215088,0.29580711868545667
245,285.0,36.74624170303345,0.2943280830920294
246,395.0,37.163565096855166,0.29285644267656924
247,392.0,39.3038170671463,0.2913921604631864
248,495.0,31.355734841823576,0.28993519966087045
249,500.0,39.948994536399844,0.2884855236625661
250,82.0,22.292924180030823,0.28704309604425327
251,32.0,37.21367619037628,0.285607880564032
252,29.0,39.15623450279236,0.28417984116121187
253,15.0,30.963131790161132,0.2827589419554058
254,9.0,38.41343072414398,0.28134514724562876
255,19.0,73.1399783706665,0.2799384215094006
256,85.0,72.59238267421722,0.27853872940185365
257,40.0,44.95853355646133,0.27714603575484437
258,14.0,42.96857938051224,0.2757603055760701
259,12.0,53.92498015642166,0.2743815040481898
260,161.0,43.66605377674103,0.2730095965279488
261,142.0,64.32145740032196,0.27164454854530906
262,197.0,57.920028858184814,0.2702863258025825
263,38.0,30.633321027755738,0.2689348941735696
264,65.0,42.208709697723386,0.26759021970270175
265,142.0,52.211336879730226,0.2662522686041882
266,351.0,86.63197896957398,0.2649210072611673
267,27.0,98.98393174171447,0.26359640222486147
268,265.0,57.347836728096006,0.26227842021373715
269,126.0,102.814776802063,0.2609670281126685
270,56.0,81.14869970798492,0.25966219297210513
271,260.0,100.23283549308776,0.2583638820072446
272,500.0,108.11246275424958,0.2570720625972084
273,484.0,52.94361650466919,0.25578670228422234
274,46.0,55.15065188884735,0.25450776877280124
275,319.0,53.49688363313675,0.2532352299289372
276,211.0,56.21179491519928,0.2519690537792925
277,362.0,61.74500974655152,0.2507092085103961
278,500.0,21.424291834831237,0.2494556624678441
279,168.0,57.68608912467957,0.24820838415550486
280,408.0,47.69122334480286,0.24696734223472733
281,249.0,65.55287215232849,0.2457325055235537
282,413.0,63.563383388519284,0.24450384299593592
283,437.0,51.736877675056455,0.24328132378095624
284,79.0,96.78832258224487,0.24206491716205145
285,500.0,44.639183082580566,0.2408545925762412
286,210.0,62.576817677021026,0.23965031961336
287,130.0,54.37302547454834,0.2384520680152932
288,38.0,66.97024013996125,0.23725980767521673
289,172.0,77.01221106529236,0.23607350863684065
290,478.0,76.11447044372558,0.23489314109365644
291,121.0,45.002745106220246,0.23371867538818816
292,500.0,54.03657553911209,0.23255008201124722
293,288.0,53.69824324131012,0.231387331601191
294,142.0,65.2120452260971,0.23023039494318503
295,221.0,39.460676672458646,0.2290792429684691
296,466.0,43.110606870651246,0.22793384675362674
297,97.0,55.35761603832245,0.22679417751985861
298,94.0,28.53593126296997,0.22566020663225933
299,253.0,22.117199137210847,0.22453190559909803
300,16.0,35.34712762594223,0.22340924607110255
301,11.0,35.478202979564664,0.22229219984074702
302,101.0,39.58958694934845,0.2211807388415433
303,131.0,20.60628730535507,0.22007483514733558
304,15.0,17.155375714302064,0.2189744609715989
