episode,avg_reward_last100,solved (>=475)
100,27.07,False
200,48.77,False
300,148.08,False
400,214.92,False
500,387.37,False
600,181.37,False
700,202.93,False
800,315.43,False
900,224.85,False
1000,216.31,False
1100,153.3,False
1200,154.96,False
1300,142.4,False
1400,175.77,False
1500,157.66,False
